file,problem_timestamps
15_10,1407510_1408070 -- 5903200_5903620 -- 7527750_7528140 -- 38272740_38273150 -- 42230190_42230580 -- 111360_111570 -- 41329620_41330150 -- 15756790_15757220 -- 29453210_29453600 -- 12148660_12149140 -- 35154940_35155330 -- 7527190_7527530 -- 40129770_40130450 -- 663950_664540 -- 13302780_13303300 -- 32250890_32251120 -- 2495910_2496320 -- 35803890_35804320 -- 2911070_2911340 -- 41611910_41612380 -- 1120380_1120920 -- 134490_134960 -- 2342310_2343040 -- 10532980_10533490 -- 37689210_37689730 -- 63850_64230 -- 41124690_41125110 -- 39378420_39378810 -- 41613720_41614280 -- 31274990_31275080 -- 41733950_41734500 -- 16018490_16018930 -- 42809730_42810050 -- 37200640_37201000 -- 2365350_2365700 -- 61900_62620 -- 11647370_11647970 -- 11607370_11607720 -- 40112190_40112690 -- 2315190_2315600 -- 36794860_36795390 -- 15768940_15769460 -- 1225100_1225560 -- 130970_131240 -- 41350860_41351190 -- 20068180_20068510 -- 2661790_2662120 -- 1216780_1217310 -- 41346080_41346470 -- 15675060_15675720 -- 6553410_6553800 -- 35962870_35963210 -- 38232810_38233200 -- 13307190_13307670 -- 15695030_15695590 -- 39368460_39368890 -- 15724360_15724720 -- 135940_136520 -- 2363760_2364090 -- 32871480_32871640 -- 6121910_6122300 -- 38535170_38535580 -- 2312220_2312640 -- 34876900_34877400 -- 15728240_15728900 -- 694890_695390 -- 41385310_41385750 -- 41735490_41736410 -- 35156020_35156360 -- 33679140_33679780 -- 33102970_33103490 -- 38402230_38403400 -- 2419800_2420140 -- 2871820_2872360 -- 41618510_41619080 -- 1435000_1435720 -- 16086930_16087450 -- 38896180_38896400 -- 11649350_11649880 -- 33291080_33291390 -- 36921230_36921550 -- 30910840_30911200 -- 33004000_33004650 -- 2836270_2836830 -- 36965110_36965480 -- 37687310_37687660 -- 37136210_37136540 -- 18870510_18870970 -- 39494480_39494900 -- 15770340_15770760 -- 61330_61780 -- 18658890_18659260 -- 2658310_2658780 -- 38667440_38667740 -- 1345150_1346150 -- 30833510_30833870 -- 668750_669220 -- 15733310_15733850 -- 36442980_36443200 -- 12091130_12091930 -- 37688000_37688340 -- 17246890_17247420 -- 37057490_37057910 -- 100580_100800 -- 8175860_8176320 -- 40160750_40161170 -- 37703850_37704290 -- 36461370_36461830 -- 11606740_11607120 -- 32962870_32963310 -- 2496400_2496910 -- 38692420_38692780 -- 15767230_15767700 -- 43104450_43104870 -- 31682380_31682720 -- 7288510_7288920 -- 33397190_33397680 -- 37529280_37529460 -- 35394980_35395300 -- 15696390_15696950 -- 6477850_6478160 -- 40234950_40235320 -- 41617530_41618070 -- 17805760_17806100 -- 41347750_41348310 -- 12090160_12090680 -- 10858220_10858470 -- 18869740_18870400 -- 16510430_16510750 -- 34878520_34879090 -- 1210880_1211190 -- 412630_413110 -- 848930_849530 -- 411970_412510 -- 2415000_2415390 -- 15724990_15725740 -- 7099480_7099810 -- 20908960_20909300 -- 1438240_1438550 -- 20914680_20915000 -- 1753790_1754700 -- 20890790_20891090 -- 5749690_5750160 -- 33099740_33100260 -- 7432290_7432770 -- 669430_669920 -- 2316210_2316520 -- 10686530_10686960 -- 13235610_13236040 -- 18639680_18639920 -- 39116240_39116640 -- 1977100_1977510 -- 1507190_1507730 -- 36433980_36434200 -- 40399170_40399590 -- 15757430_15757860 -- 32520880_32521290 -- 2405910_2406210 -- 15755830_15756170 -- 2360530_2360860 -- 1826450_1827030 -- 812660_813330 -- 2368540_2368870 -- 39373540_39374090 -- 551020_551390 -- 20002590_20003120 -- 16544900_16545240 -- 38710000_38710500 -- 20913470_20914220 -- 29961930_29962360 -- 13234840_13235410 -- 6556240_6556690 -- 1187570_1188000 -- 15874780_15875330 -- 41332510_41332940 -- 649720_650410 -- 29430150_29430700 -- 33100400_33101050 -- 29464550_29465150 -- 39905220_39905550 -- 1827200_1827810
03_07,
03_06,
17_15,
17_14,
17_17,
17_16,
17_11,
17_10,
17_13,
17_12,
14_09,24133500_24136600
14_08,4499080_4500030 -- 898420_901190 -- 5399910_5400720 -- 31828410_31829220 -- 27299030_27300300 -- 30897890_30902550 -- 22793890_22809690 -- 26398830_26400770 -- 8999040_9001090
14_07,34924300_34925220 -- 10811700_10812940 -- 34926230_34928740 -- 22691390_22692190 -- 23011040_23012240 -- 9990720_9991520 -- 10812940_10813880 -- 23010190_23011040 -- 9991520_9995930 -- 22686660_22691390 -- 34925220_34926230
14_06,33612350_33616060 -- 51313120_51313920 -- 10577620_10578740 -- 34569340_34571320 -- 12244500_12245440 -- 33611280_33612350 -- 34568050_34569340 -- 25211960_25215490 -- 10576360_10577620 -- 23800890_23801700 -- 25215490_25219900 -- 51297720_51313120 -- 12245440_12246430 -- 23797940_23800890
29_10,
29_11,
29_12,
29_13,
29_14,
29_15,
29_16,
29_17,
02_08,15371960_15375300 -- 38600850_38604870
02_09,23738960_23746340 -- 20141710_20142510
37_08,
37_09,
37_06,33141930_33142300 -- 29755870_29756470 -- 31685040_31685480 -- 37546310_37547040 -- 23325090_23325430 -- 31930170_31930490 -- 37481840_37482240 -- 35693240_35693880 -- 14041670_14042360 -- 16043050_16043470 -- 31077340_31077660 -- 33139670_33140300 -- 32071710_32072080 -- 22069440_22069930 -- 33172690_33173120 -- 33537080_33537720 -- 15700950_15701340 -- 17233830_17234230 -- 33199300_33199810 -- 33421970_33422570 -- 16118490_16118740 -- 37473660_37474080 -- 31917180_31917490 -- 34873060_34873420 -- 14019650_14020010 -- 18553780_18554340 -- 37509810_37510360 -- 37567570_37567960 -- 14776070_14776530 -- 16064780_16065160 -- 31743840_31744170 -- 14272480_14273100 -- 17062110_17062650 -- 31720340_31720650 -- 33123420_33123980 -- 24586800_24587180 -- 33142610_33142920 -- 17094120_17094620 -- 33390750_33391330 -- 33124390_33124800 -- 22161250_22161790 -- 37454790_37455130 -- 25954130_25954500 -- 22185560_22186000 -- 22081690_22082180 -- 34938390_34938750 -- 35935940_35936710 -- 33170760_33171250 -- 33207190_33207580 -- 22082260_22082890 -- 37623790_37624410 -- 22199420_22199910 -- 17077520_17077980 -- 33195090_33195480 -- 35811360_35811930 -- 22154330_22154930 -- 37560610_37561100 -- 33391900_33392530 -- 31723800_31724170 -- 36118930_36119020 -- 24587290_24587600 -- 33109970_33110220 -- 29753750_29754060 -- 31718330_31718890 -- 29761270_29761840 -- 31709440_31709820 -- 17232120_17232440 -- 31713660_31714130 -- 22279550_22280000 -- 22186840_22187220 -- 29833960_29834480 -- 25700700_25701050 -- 0_1050 -- 13961980_13962460 -- 31076510_31076820 -- 17828460_17829070 -- 29753260_29753590 -- 17062950_17063460 -- 17064810_17065490 -- 10322480_10322830 -- 35706330_35706960
37_07,4146950_4147530 -- 35265060_35265380 -- 18536760_18537110 -- 18714370_18714900 -- 31367310_31368070 -- 1760800_1761130 -- 31559970_31560970 -- 5388810_5389170 -- 34793030_34793390 -- 15419100_15419570 -- 18858040_18858620 -- 18861520_18861840 -- 35274560_35274980 -- 18920670_18921290 -- 18860820_18861380 -- 5927080_5927360 -- 2294280_2294690 -- 29457160_29457740 -- 17560970_17561350 -- 19091200_19091710 -- 1876920_1877160 -- 34479250_34479660 -- 44290880_44291630 -- 4494650_4495060 -- 29541400_29542040 -- 18454550_18455190 -- 31369480_31370370 -- 17980310_17980700 -- 20922470_20922870 -- 29058200_29058920 -- 7081180_7081420 -- 19014890_19015200 -- 4552030_4552350 -- 1623150_1623830 -- 32426860_32427380 -- 32421000_32421320 -- 21023620_21024390 -- 7759440_7759880 -- 244370_244710 -- 34251790_34252100 -- 18798240_18798580 -- 29883590_29884110 -- 7628840_7629190 -- 32338130_32338900 -- 33574730_33575420 -- 29051200_29051880 -- 32420430_32420750 -- 33966930_33967230 -- 30478400_30479020 -- 2293400_2293890 -- 20618850_20619420 -- 34503340_34503780 -- 34098810_34099350 -- 18277570_18278070 -- 37880200_37880540 -- 6736740_6737260 -- 41897460_41898010 -- 41907330_41907910 -- 4146120_4146550 -- 33592020_33592660 -- 7077020_7077260 -- 34020510_34020830 -- 31819310_31819670 -- 1621660_1622350 -- 2612000_2612620 -- 7715000_7715360 -- 17961250_17961790 -- 1843890_1844230 -- 30439010_30439560 -- 18955850_18956340 -- 31247070_31247560 -- 4519920_4520630 -- 5532420_5532900 -- 35272310_35272680 -- 5309340_5309640 -- 18515330_18515820 -- 1883230_1883890 -- 41822810_41823290 -- 6851690_6851890 -- 6664320_6664680 -- 31387870_31388420 -- 30455560_30455910 -- 6730630_6731030 -- 18836170_18836640 -- 41809050_41809830 -- 32403650_32404300 -- 7562520_7563010 -- 18151480_18151840 -- 20426560_20426880 -- 19488240_19488620 -- 31865360_31865840 -- 17872030_17872380 -- 30087000_30087380 -- 7760670_7761030 -- 32462890_32463330 -- 33871160_33871860 -- 7758770_7759300 -- 19100890_19101340 -- 29056770_29057260 -- 7537470_7537850 -- 42761710_42762150 -- 29405390_29405770 -- 42097710_42098060 -- 164360_164760 -- 7578190_7578560 -- 31670860_31671530 -- 34216750_34217270 -- 274460_274870 -- 33951060_33951480 -- 2134060_2134400 -- 38254920_38255240 -- 7253820_7254230 -- 33566330_33567150 -- 7572140_7572450 -- 33337930_33339100 -- 32463530_32463860 -- 20687800_20688380 -- 29055140_29055730 -- 38176820_38177140 -- 4188510_4188850 -- 6734130_6734710 -- 41794770_41795460 -- 6850490_6850760 -- 38065330_38065710 -- 18518740_18519450 -- 4418470_4418980 -- 42683120_42683720 -- 33572920_33573610 -- 2135040_2135420 -- 20368090_20368410 -- 42304330_42304900 -- 7754670_7755220 -- 38212960_38213340 -- 31850290_31850910 -- 3124950_3125440 -- 30084270_30084650 -- 38212470_38212810 -- 41820950_41821300 -- 38214050_38214370 -- 17956120_17956860 -- 18887370_18887730 -- 7427300_7427680 -- 30382200_30382740 -- 19148300_19148510 -- 4175580_4176090 -- 19070120_19070850 -- 6644010_6644470 -- 20752160_20752690 -- 17940470_17941140 -- 3984860_3985550 -- 33909980_33910320 -- 5303450_5303910 -- 5259550_5259930 -- 19092220_19093020 -- 7573080_7573410 -- 35717550_35718190 -- 19119930_19120320 -- 2611090_2611420 -- 33621340_33621960 -- 1632570_1632860 -- 31517180_31517550 -- 44110560_44110870 -- 4532140_4532600 -- 18785420_18786050 -- 34549750_34550300 -- 17407540_17408020 -- 33976030_33976520 -- 7079650_7079900 -- 33995530_33995930 -- 18417330_18418020 -- 19169510_19169720 -- 19071820_19072530 -- 21014060_21014600 -- 35716560_35717160 -- 18376530_18377240 -- 2255360_2255850 -- 33486660_33487300 -- 6650240_6650480 -- 18066640_18067380 -- 4174290_4174700 -- 18397870_18398450 -- 3770500_3771020 -- 1729880_1730510 -- 30683530_30683780 -- 419540_419870 -- 7651120_7651460 -- 17889720_17890260 -- 18273500_18274110 -- 19073080_19073390 -- 34793570_34793900 -- 936710_937260 -- 2295070_2295580 -- 34009470_34009770 -- 29081430_29082130 -- 1865630_1865840 -- 926200_926930 -- 30123070_30123630 -- 20885460_20885840 -- 33565390_33565760 -- 34555620_34556020 -- 17943200_17943990 -- 7066480_7066720 -- 32925700_32926190 -- 2259470_2259800 -- 30806200_30806710 -- 18605140_18605510 -- 31573230_31573700 -- 4331900_4332270 -- 21026660_21027100 -- 18486340_18486910 -- 4063610_4064200 -- 31874340_31874560 -- 30085740_30086150 -- 19015900_19016430 -- 19170880_19171270 -- 18995740_18996140 -- 18514410_18514970 -- 2513630_2513960 -- 37879460_37879960 -- 2476620_2477030 -- 32341020_32341990 -- 20398320_20398710 -- 30700390_30700620 -- 2152290_2152590 -- 20887890_20888570 -- 28719180_28719590 -- 21110160_21110710 -- 31820810_31821310 -- 7574930_7575250 -- 4204820_4205720 -- 41877910_41878570 -- 31517990_31518640 -- 20410630_20410940 -- 6847890_6848410 -- 20617850_20618580 -- 6846550_6846920 -- 32404380_32404860 -- 20367360_20367910 -- 31198820_31199450 -- 7593730_7594050 -- 4522710_4523090 -- 271310_271650 -- 5387000_5387570 -- 21021580_21022010 -- 7753270_7753760 -- 2378110_2378510 -- 2053130_2053560 -- 42329160_42329650 -- 19165000_19165380 -- 3721880_3722240 -- 18927680_18928100 -- 2907850_2908160 -- 42404980_42405330 -- 2533150_2533580 -- 19257350_19257890 -- 34509040_34509530 -- 18981800_18982320 -- 38213500_38213860 -- 18865040_18865620 -- 30383580_30384140 -- 18070270_18070610 -- 5892230_5892820 -- 3320530_3321140 -- 2204240_2204730 -- 31939660_31939970 -- 18274330_18275030 -- 30044130_30044530 -- 6833710_6834020 -- 19125340_19125710 -- 31178880_31179250 -- 30659750_30659980 -- 43491680_43492100
09_12,
09_13,
09_10,
09_11,
09_16,
09_17,
09_14,
09_15,
23_09,2427880_2428500 -- 11052440_11053010 -- 8118100_8118490 -- 200740_201470 -- 2429540_2429990 -- 5163780_5164170 -- 445970_446760 -- 9190450_9191040 -- 1692130_1692580 -- 19761340_19762160 -- 11556880_11557320 -- 11550900_11551200 -- 22070000_22070650 -- 19754690_19755480 -- 17816800_17817930 -- 4886010_4886440 -- 5026180_5026540 -- 68280_68740 -- 5061620_5062170 -- 19148200_19148870 -- 2662520_2663010 -- 3765670_3766150 -- 11564140_11564520 -- 16512900_16513250 -- 3766510_3766860 -- 20518720_20519170 -- 3728790_3729140 -- 37070330_37070550 -- 20981430_20981960 -- 3746020_3746470 -- 39158860_39159570 -- 5045850_5046160 -- 8407240_8407780 -- 3344620_3345200 -- 37059060_37059400 -- 1776500_1776820 -- 43170060_43170380 -- 41695210_41695790 -- 39880870_39881760 -- 41712330_41712920 -- 43167410_43167760 -- 36575790_36576200 -- 11421000_11421450 -- 39158360_39158740 -- 11512280_11512780 -- 11115310_11115490 -- 4297270_4297790 -- 11446900_11447520 -- 3010550_3010810 -- 7145450_7145780 -- 11510890_11511520 -- 42096750_42097190 -- 11560960_11561340 -- 713470_713800 -- 3734130_3734760 -- 1122650_1123150 -- 1781120_1781470 -- 42211090_42211610 -- 39906950_39907510 -- 494060_494280 -- 43181290_43181910 -- 41984850_41985340 -- 702110_702520 -- 4985700_4986190 -- 11585700_11586150 -- 5220860_5221290 -- 16513330_16514340 -- 37918640_37918920 -- 5067410_5067750 -- 43172050_43172630 -- 9131040_9131620 -- 39901090_39901440 -- 14356940_14357870 -- 41693020_41693450 -- 22102610_22103020 -- 39922040_39922400 -- 18057930_18058270 -- 10168750_10169070 -- 35752580_35753040 -- 42233960_42234290 -- 18521050_18521370 -- 11583310_11583690 -- 41678730_41679130 -- 43131780_43132240 -- 19764190_19764540 -- 39159930_39160350 -- 11305650_11306720 -- 3154820_3155120
